Author_name,#Followers,Author Following,Account Created,Verified,Location,Tweet,Length,Likes,Language,Retweets,Time
Cashkarocom,39834,8425,12-10-12 11:01,TRUE,"Plot No. 35P, Sec 44, Gurgaon","Stay home &amp; order everything that you need online via CashKaro! Shop for all types of essentials on @BigBazaar, @amazonIN, ITC &amp; more topped with CashKaro Cashback.
Order now: https://t.co/yMh1tTJJ3F
.
#essentials #YouGetMore #orderonline #FightCoronaTogether #StayHome #CashKaro https://t.co/dPq3ke1hVO","[0, 287]",1,en,0,19-04-21 7:39
iamabdulmac,35,280,18-06-17 12:24,FALSE,"Malappuram (Ernad), India",RT @SamsungIndia: Get notified on @amazonIN https://t.co/6NVmQJCMjO or Samsung Online Store https://t.co/2TFcFskr41. Stay tuned for the lau…,"[0, 140]",0,en,1,19-04-21 7:38
mashish09,9,81,14-12-15 10:06,FALSE,,@amazonIN I have ordered oneplus buds on 10th April your system says it’s delivered but I haven’t received and when I chatted customer representative they give me dates before said 16th then 19th and now 21st what service Amazon provides to its customers???,"[0, 257]",0,en,0,19-04-21 7:38
abrarah41946400,12,108,25-12-13 11:57,FALSE,,"@amazonIN &amp; @OnePlus_IN 
#AmazonMobilelnsider #OnePlus9Series https://t.co/7tgbZkEqsL","[0, 65]",0,und,0,19-04-21 7:38
Viral0286,19,70,01-12-09 12:21,FALSE,Mumbai,@amazonIN pity to see no reverts from Amazon on this,"[0, 52]",0,en,0,19-04-21 7:37
Santosh46068927,23,118,01-09-16 12:05,FALSE,"Bengaluru, India","@amazonIN @OnePlus_IN 
#amazonmobilelnsider #OnePlus9Series5G https://t.co/gWrhTy74aJ","[0, 61]",0,und,0,19-04-21 7:37
pranjalipatil,20,73,21-06-09 5:32,FALSE,"Mumbai, India",@AmazonHelp @amazonIN Can you please share emi reference number,"[22, 63]",0,en,0,19-04-21 7:37
Viral0286,19,70,01-12-09 12:21,FALSE,Mumbai,"RT @Viral0286: @amazonIN @mybmc 
Amazon is cheating customers by selling their own brand in Mumbai as essential product and same product of…","[0, 140]",0,en,1,19-04-21 7:37
nomadic_boho,4,24,23-04-20 10:22,FALSE,"New Delhi, India","@IqooInd @amazonIN Snapdragon 870? 
But Iqoo 7 come with Snapdragon 888","[19, 71]",0,nl,0,19-04-21 7:36
ShrutiShyanti,1,7,13-07-20 16:33,FALSE,,Dear @MiIndiaSupport please launch your phones on @amazonIN only. I asked Flipkart associate to escalate the call as he told his lead rejected it. He told there is no such option available. He rejected return stating he can't help and updated 'issue resolved with troubleshooting',"[0, 280]",0,en,0,19-04-21 7:35
Sabarishsukumar,0,72,22-12-20 15:14,FALSE,"Chennai, India",RT @amazonIN: Heartfelt congratulations to all winners for their stellar performance in the Entrepreneurship Challenge at #AmazonSmbhav! Yo…,"[0, 140]",0,en,10,19-04-21 7:33
varunlachhwani,8,35,09-05-13 10:22,FALSE,,"Hey @amazonIN I have ordered OnePlus 9r on 14th, the package had arrived my city on 17th and it was at final delivery station on 18th early morning around 6:40 a.m. The package is supposed to be delivered today but it is still not out for delivery, plz look into the issue ASAP. https://t.co/aN2XgAu5Gp","[0, 278]",0,en,0,19-04-21 7:33
nomadic_boho,4,24,23-04-20 10:22,FALSE,"New Delhi, India","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,19-04-21 7:32
abhaysingh78_,20,118,20-03-13 13:09,FALSE,,"A Very Pathetic Delivery of Product Experienced by me today done by Amazon Distributor - Cloudtail India. 
During these pandemic days the responsibility of Delivering the good in proper ways isn't learnt by Amazon India  @AmitAgarwal @amazonIN @amazon https://t.co/Prw3T5eWkf","[0, 251]",0,en,0,19-04-21 7:32
b_khan96,8,16,29-03-13 6:45,FALSE,Jammu And Kashmir,"To return it back to @amazonIN and have my money back. Also, despite having an AMOLED display, there's no support of #SuperWallpaper in #RedmiNote10ProMax I've been a user of @XiaomiIndia products since 2017 and I've had none problems with those devices and my last device was","[0, 276]",0,en,0,19-04-21 7:31
b_khan96,8,16,29-03-13 6:45,FALSE,Jammu And Kashmir,I've to touch the screen again and again in order for the phone to recognize my touch gesture. I bought the phone from @amazonIN and I've been using it for 4 days. Is this a hardware issue or a software based issue? Cause this problem is really annoying and I've still the option,"[0, 279]",0,en,0,19-04-21 7:31
ShieldVoC,17698,98,08-06-19 15:40,FALSE,"Stockholm, Sweden","RT @RahulAhir_: @amazonIN @AmazonHelp 
My order delivered in 9/April
Bat not receive 
Up to 11day not helping customers service and not soc…","[0, 140]",0,en,1,19-04-21 7:31
iBoxBurner,757,66,29-07-09 16:44,FALSE,Ghaziabad,"Have ordered from @amazonIN and @PaytmMall and facing nightmares for a satisfactory answer. 
@amazonIN don't know the number of delivery boy and @PaytmMall has delivered my order though I haven't received it.","[0, 208]",0,en,0,19-04-21 7:31
pan12bhavisha,67,164,26-09-14 11:20,FALSE,Mumbai,@amazonIN before placing the order you must confirm if KYC is required. This is totally unexpected behaviour of delivery boy to deny to parcel at door for not completing KYC.,"[0, 174]",0,en,0,19-04-21 7:30
ShieldVoC,17698,98,08-06-19 15:40,FALSE,"Stockholm, Sweden",RT @satishsingh1221: Dear @amazonIN @AmazonHelp @Uber_Support @UberINSupport @Uber Unable to add Amazon as a payment method for Uber rides.…,"[0, 140]",0,en,1,19-04-21 7:30
SamsungIndia,2456141,10,10-06-09 15:15,TRUE,Gurgaon,"Get notified on @amazonIN https://t.co/6NVmQJCMjO or Samsung Online Store https://t.co/2TFcFskr41. Stay tuned for the launch of #GalaxyM42 5G on 28th April, 12 noon.","[0, 165]",45,en,1,19-04-21 7:30
sarvesh54365728,12,13,01-03-21 7:17,FALSE,,RT @AimraNawada: @sureshjumani4 @AimraIndia @PiyushGoyal @PiyushGoyalOffc @CimGOI @DIPPGOI @dir_ed @cbic_india @FinMinIndia @PMOIndia @nsit…,"[0, 140]",0,hi,5,19-04-21 7:29
18_cxxx,4,72,02-12-20 7:19,FALSE,"Ahmadabad City, India",RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,19-04-21 7:29
Harsh_0333,4,15,24-07-20 16:14,FALSE,,RT @LeBharathRoi: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amaz…,"[0, 140]",0,en,1,19-04-21 7:29
shahbaztemkar,54,196,10-05-10 20:20,FALSE,"Mumbai, India","Yes tried reaching your customer care which has no solution. And I am feeling cheated. Hadn’t I weighed the beans I wouldn’t have realised that it’s at least a kg less. See the weight mention on this parcel bag and details of my order. 
@amazon @amazonIN @AmazonHelp https://t.co/OsCiVwFqCq https://t.co/b4Uj9DtTTp","[0, 290]",0,en,0,19-04-21 7:28
LeBharathRoi,6,87,29-09-20 15:39,FALSE,,@Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amazonIN @SmithAndrewR @soniaTCSCanada @MiaYenCanada @CitImmCanada @CanadainIndia @nadirypatel @JustinTrudeau @marcomendicino @SonuSood Please don't play with our lives ! We are mentally dying everyday ! 2 people commited suicide already ! Pls don't play with students ! #StudentLivesMatter #JUSTICEFORQEUEBCSTUDENTS https://t.co/3IPMs8WqEQ,"[156, 433]",0,en,1,19-04-21 7:28
ziayul_khan,28,76,17-11-15 3:41,FALSE,,Sir hamne Xiaomi mi lite watch kharidi thi Amazon sa se aor ham ab India me hain wo watch ham connect nhi kar pa rhe hain plz help @MiIndiaSupport @XiaomiIndia @XiaomiIndia @Xiaomi @amazon @amazonIN @amazon,"[0, 206]",1,en,0,19-04-21 7:27
prabhud19,1011,174,05-04-11 14:47,FALSE,Chennai,@Sanjay_Pinto @BlueDart_ @BlueDartCares apparently you dont do @amazonIN  shopping - absolutely contactless.,"[40, 108]",0,en,0,19-04-21 7:26
kaurlovey2,11,12,23-12-19 15:25,FALSE,"Jalandhar, India",RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,19-04-21 7:26
aksharec,86,626,03-06-10 7:02,FALSE,,@flipkartsupport don't you have time to respond to this. @amazonIN @amazon,"[0, 74]",0,en,0,19-04-21 7:26
28Simranjeet,6,23,27-11-20 7:08,FALSE,,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,19-04-21 7:25
mohitsi82055670,0,0,19-04-21 3:55,FALSE,,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,19-04-21 7:25
aman1999s,15,94,21-04-18 17:50,FALSE,vadodara,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,19-04-21 7:25
ShieldVoC,17698,98,08-06-19 15:40,FALSE,"Stockholm, Sweden","RT @Ali_Champarni: I did order a product by https://t.co/sEOWYrc6RQ,
But Product got delivered without deliver to me

@amazon 
@amazonIN 
@…","[0, 140]",0,en,3,19-04-21 7:25
Gurleen37194561,6,29,28-08-20 18:09,FALSE,,RT @ImanpreetSingh9: @Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @a…,"[0, 140]",0,en,7,19-04-21 7:24
SenanSamjith,14,28,23-03-21 7:50,FALSE,,"@amazonIN I raised the issue and customer care told me that the product cost will be credited to my account in 48 hours. @amazon sometimes time, hope, trust and morality matters more than money. #losttime #TrustIssues #poormorale #losthope #devastated","[0, 251]",0,en,0,19-04-21 7:23
ImanpreetSingh9,29,166,16-11-20 15:45,FALSE,"Punjab, India",@Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amazonIN @SmithAndrewR @soniaTCSCanada We want justice. Give results to Quebec students . Wake up @CitImmCanada #JusticeForQuebecStudents @CitImmCanada @CitImmCanFR @JustinTrudeau @theJagmeetSingh https://t.co/lBRuGtUdJG https://t.co/NE8a9JhWyN https://t.co/49Ii3AsPR2,"[156, 361]",1,en,7,19-04-21 7:23
STPIGoa,487,899,03-07-18 11:09,FALSE,"Altinho, Panaji, Goa","RT @aristavault: We have a better solution for you to stay safe in this covid-19. 
NABL certified UV-C sanitization Shuddhi basket to fight…","[0, 140]",0,en,2,19-04-21 7:23
ImanpreetSingh9,29,166,16-11-20 15:45,FALSE,"Punjab, India",@Elaine_Dsouza @MiaYenCanada @NitinTCS @Akhil_TCS @TradeTeamIndia @CanadaTrade @TCS_SDC @AAFC_Canada @GAC_Corporate @amazonIN @SmithAndrewR @soniaTCSCanada https://t.co/AaY0ibvPUe,"[155, 155]",0,und,0,19-04-21 7:23
Abhiman70221921,17,222,07-01-19 12:05,FALSE,"Sasaram, India",@amazonIN #AmazonSpinandWin https://t.co/Xcqu3nVAl2,"[0, 27]",0,und,0,19-04-21 7:22
vor_pr,1,25,12-04-20 15:03,FALSE,,"RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,19-04-21 7:22
avantik49770136,23,80,05-02-14 7:49,FALSE,"New Delhi, India",What’s with the new Amazon shopping interface ? I cannot contact customer support @amazon @amazonIN #missingitems #CustomerService,"[0, 130]",0,en,0,19-04-21 7:20
Vinodbharatra9,23,99,06-07-17 9:23,FALSE,Malad,"@AmazonFresh @JeffBezos @amazon @AmazonHelp @amazonIN I ordered from @AmazonFresh and I received a wrong delivery(Yakult instead of Ice Cream) when I asked for my money back they said 5 working day, see the height of struggle of a common man.@ANI @ZeeNews https://t.co/ypyVHYSqoT","[0, 255]",0,en,0,19-04-21 7:20
SenanSamjith,14,28,23-03-21 7:50,FALSE,,"Feeling Horrible @amazon @JeffBezos 
I ordered a remote control car via @amazonIN for my nephew's birthday and I received an old ZTE battery instead.
It was a devastating experience as I wanted to gift something beautiful to my nephew &amp; I put my trust on @amazon i regret it now. https://t.co/PMN0mZrMnW","[0, 283]",0,en,0,19-04-21 7:20
sushilsharma963,31,63,07-09-11 6:03,FALSE,"Jammu, J&K ",RT @sushilsharma963: I request everyone #boycott @XpressBees_IN courier company @Paytm @realmemobiles @makeinindia @amazonIN @Safexpress @a…,"[0, 140]",0,en,1,19-04-21 7:20
GautamChaudhur6,21,27,10-09-17 3:01,FALSE,,@JioMart my reference number is.6185772149  . 48 hours gone till you people not solve the problem. IT means the store person cheated me? Nice practice... ordered 4 litres of refined oil but delivered only one litre....@JioMart_Support @bigbasket_com @amazonIN @RelianceFreshIN,"[0, 276]",0,en,0,19-04-21 7:19
Biju11218746,61,36,15-10-17 12:35,FALSE,,"@barandbench @amazonIN See what @AmitAgarwal is doing is that for getting personal benefit, he is targeting vendors family, destroying shareholders wealth, creditors, lenders nd creating job losses by blocking this deal.. Throw this East India Company from here just like china did.. @JeffBezos","[23, 294]",0,en,0,19-04-21 7:17
SurajKu20609681,0,78,20-02-18 18:58,FALSE,,@amazonIN,"[0, 9]",0,und,0,19-04-21 7:16
ShieldVoC,17698,98,08-06-19 15:40,FALSE,"Stockholm, Sweden",RT @EddieDaniel81: @amazon @AmazonHelp @amazonIN Amazon has gone from bad to worst... Their is no reliability on buying products from Amazo…,"[0, 140]",0,en,1,19-04-21 7:16
Deb00179937,3,177,30-08-19 17:49,FALSE,,@AmazonHelp did not give my money refund in my BANK ACCOUNT they are a FRAUD COMPANY. @amazonIN,"[0, 95]",0,en,0,19-04-21 7:16
powar_sachin,13,3,23-05-12 16:48,FALSE,,"@vlebazaar_in During this pandemic crisis, I was hoping that u would bring some joy to my daughter's face but little did I know that u would ruin their b'day by sending fake product.
Copying price, SKU, description, image from @amazonIN but delivering a cheap product is pathetic! https://t.co/w7A34FNg7O","[0, 280]",0,en,0,19-04-21 7:15
chiranjeev_007,48,100,28-04-15 4:52,FALSE,"Siliguri, India","@AmazonHelp @amazonIN 

Kindly do the needfull.
Seller didin't shipped it yet.
I need it on urgent basis. https://t.co/AlvjFFR2Jo","[0, 105]",0,en,0,19-04-21 7:13
GowdaINNagesh3,4,79,22-09-19 8:25,FALSE,"Krishnarajpet, India","@AmazonHelp @deepolice12 @PMOIndia @amazonIN
@AddlCPCrime answer me sir, what happened this order, 15 days gone already, where is my order #don't purchase amazon any products https://t.co/BmjAmGdXyP","[0, 174]",0,en,0,19-04-21 7:13
ServicesforOnl1,1,8,18-07-20 10:17,FALSE,,Dear @AmazonHelp @amazonIN  My bank account is lock bcoz we had taken a loan to lending partner; now we have paid them fully and got NOC. They have also confirmed that they have forwarded to unlock our bank account but bank account is still lock. I have mailed to,"[0, 263]",0,en,0,19-04-21 7:13
dreamtodeff,65,972,18-02-13 11:27,FALSE,"Agartala, India","Dear @amazonIN customers data are being leaked,  getting calls from random number pretending to be calling from Amazon  gift service, and the best part is they know what you have ordered recently, what is your address everything https://t.co/gau6UNLvdz","[0, 228]",0,en,0,19-04-21 7:13
FreeVillie,10,511,28-04-19 10:08,FALSE,India,"@amazonIN @AmitAgarwal 

Your whole Customer Service approach needs a Reboot.

Escalating the Irritant Quotient seems to be your Customer Service Motto.

What Goes up can and will Fall too, if it can't Sustain it's Providers.

Always Remember!","[0, 243]",0,en,0,19-04-21 7:09
ShieldVoC,17698,98,08-06-19 15:40,FALSE,"Stockholm, Sweden",RT @09A_Shakya: I had ordered a mobile phone on 13th April 2021 from @amazonIN and it was expected to deliver by 16th April. It's 19th now…,"[0, 139]",0,en,1,19-04-21 7:09
Khushi24727657,103,1239,31-12-18 6:20,FALSE,india,"Pharma Science Resizer Capsules Garcinia Cambogia Extract for Weight Manage... https://t.co/iKVDdcBd0Q via @amazonIN 

#weightloss #herbal_weight_loss #fat_burner_ayurvedic #garcinia_cambogia #appetite_control https://t.co/3jlxHsYkE9","[0, 209]",0,en,0,19-04-21 7:08
Shivu56172949,0,2,16-04-21 9:45,FALSE,,@IqooInd @amazonIN 😲😲😲😲,"[19, 23]",0,und,0,19-04-21 7:06
SakshamHanda3,2,252,28-05-19 21:16,FALSE,,"RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,19-04-21 7:06
apkamishra,0,0,20-01-19 9:48,FALSE,"New Delhi, India","RT @ApoorvPradhan: @amazonIN @amazon @AmazonHelp 
I want help regarding my this order. 
I placed this on 26, was delivered to ""my"" home at…","[0, 139]",0,en,2,19-04-21 7:05
RahulAhir_,11,185,31-12-18 4:12,FALSE,"Ahmadabad City, India","@JeffBezos @amazonIN
My order delivered in 9/April
Bat not receive 
Up to 11day not helping customers service and not social media customer  helping 
What cen I doo
And seller whose left Amazon 
Not refand and delivered product
Please not bay Amazon product
Not trashted Amazon","[0, 277]",0,en,0,19-04-21 7:05
harishsavanur,26,578,18-08-09 10:55,FALSE,Hubli,"@AmazonHelp @amazonIN @Flipkart @consumerforum_ @mipaltan  @smart_mumbaikar  i've ordered antivirus software on 25th March, no delivery till date. No contact number of Amazon customer service on website. Did I lose my money forever?","[0, 232]",0,en,0,19-04-21 7:04
GowdaINNagesh3,4,79,22-09-19 8:25,FALSE,"Krishnarajpet, India","@amazonIN #don't purchase amazon, dear friends amazon is cheating https://t.co/jUgSkPRyjw","[0, 65]",0,en,0,19-04-21 7:04
niteshb69,74,88,24-10-14 15:14,FALSE,भारतीय,@amazonIN Product despatch status according to Amazon. What's this? https://t.co/M3i9lIEXNf,"[0, 67]",0,en,0,19-04-21 7:02
nidhi5ux,122,749,05-04-10 15:12,FALSE,India,"No resolutions still, call center guys continue to give fake promises. Pathetic experience. Amazon should refund my Prime membership fees and full refund of orders that did not reach me. @AmazonHelp @amazonprimeIN @amazonIN @jagograhakjago @amazon","[0, 247]",0,en,0,19-04-21 7:02
PINAKIR56775348,3,75,22-09-18 8:22,FALSE,"Kolkata, India","RT @RupaKnitwear: Looking for Comfort, Style &amp; Uniqueness for Kids ? then Look only for Frontline.
Shop HUNK Drawer @ https://t.co/CR4VksBd…","[0, 144]",0,en,1,19-04-21 7:01
974dc6d2748b434,20,168,31-08-14 12:49,FALSE,,@AneeqPrateek @amazonIN Thanks bro,"[24, 34]",1,en,0,19-04-21 7:01
barandbench,340904,1264,21-08-09 10:45,TRUE,"Del, Blr, Mum, Chennai","[Amazon v. Future] Supreme Court stays proceedings before Delhi High Court on enforceability of Emergency Award

#Amazon @amazonIN #SupremeCourt 

Read story: https://t.co/0pVxLrj1NS https://t.co/9d2nNtHAQZ","[0, 182]",5,en,1,19-04-21 7:00
AneeqPrateek,87,512,14-10-20 13:11,FALSE,,@974dc6d2748b434 @amazonIN Awesome Mohammed! Very happy that you got a productive everyday useful commodity 🥳🥳,"[27, 110]",2,en,0,19-04-21 7:00
vamshiR7_,39,1400,14-10-13 12:26,FALSE,India,"RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,19-04-21 7:00
Ali_Champarni,3643,3361,04-11-12 9:17,FALSE,"Gandhi कि धरती चंपारण,बिहार से","RT @Ali_Champarni: I did order a product by https://t.co/sEOWYrc6RQ,
But Product got delivered without deliver to me

@amazon 
@amazonIN 
@…","[0, 140]",0,en,3,19-04-21 7:00
Khushi24727657,103,1239,31-12-18 6:20,FALSE,india,"Pharma Science Mass And Weight Gainers Nutrition Supplements Powder Improve... https://t.co/UAYrNF3JDS via @amazonIN 

#weightgainer #muscle_gainer #protein_powder #ashwagandha #safed_musli #ayurveda #weight_increase https://t.co/ayPUdEz1Ok","[0, 216]",0,en,0,19-04-21 7:00
Ali_Champarni,3643,3361,04-11-12 9:17,FALSE,"Gandhi कि धरती चंपारण,बिहार से",@ModiLeDubega_ @amazon @amazonIN @AmazonHelp @JeffBezos 😕,"[56, 57]",0,und,0,19-04-21 7:00
neontasmi,25,183,01-07-17 20:08,FALSE,"Bengaluru, India","@amazonIN  have you lost it??????
You can't get a order right, your customer service is trash and of no use.","[0, 108]",0,en,0,19-04-21 6:59
Ali_Champarni,3643,3361,04-11-12 9:17,FALSE,"Gandhi कि धरती चंपारण,बिहार से","RT @ModiLeDubega_: @amazonIN @AmazonHelp 
Let the problem be resolved.","[0, 70]",0,en,1,19-04-21 6:59
Ali_Champarni,3643,3361,04-11-12 9:17,FALSE,"Gandhi कि धरती चंपारण,बिहार से",RT @ModiLeDubega_: @Ali_Champarni @amazon @amazonIN @AmazonHelp @JeffBezos Take the problem into cognizance,"[0, 107]",0,en,1,19-04-21 6:59
BumchumsFashion,654,307,03-09-10 13:00,FALSE,India,"Looking for Style &amp; Comfort? then Choose only #bumchums.
Shop @ https://t.co/EUtOLrvIlF
Also shop @Flipkart :- https://t.co/eygWPe38re
And @amazonIN : https://t.co/4Hqs8AvBHl
#casualwear #athleisure #tee #bermuda
#casualwearfashion #athleisurewear #tshirt #bermudashorts https://t.co/SQyuA8t7Eh","[0, 274]",0,en,0,19-04-21 6:59
nidhi5ux,122,749,05-04-10 15:12,FALSE,India,"RT @nidhi5ux: Prepaid orders not getting delivered n status changes to delivered repeatedly, orders r misplaced, amazon prime membership is…","[0, 140]",0,en,2,19-04-21 6:59
RupeshK14449500,64,124,10-05-20 0:40,FALSE,,There Is totally fix by Amazon fraud they do three time investigation and after 15days later they reply what a good trick by Amazon by harassing customer. Not issue refund or replacement for just wrong mobile sent.@amazonIN @AmazonHelp @JeffBezos https://t.co/iqESac01IP,"[0, 246]",0,en,0,19-04-21 6:59
ShieldVoC,17698,98,08-06-19 15:40,FALSE,"Stockholm, Sweden",RT @shubhamnawari: @AmazonHelp @amazon @amazonIN @ConsumersAffair @JagoGrahakJagoo @ConsumerReports   please check the attachments. These 2…,"[0, 140]",0,en,1,19-04-21 6:58
manikumar4144,305,1493,09-05-12 8:09,FALSE,"Bengaluru South, India","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,19-04-21 6:57
ashfaq_sufi,22,129,09-02-18 22:20,FALSE,Jammu And Kashmir,Best gaming experience @iqoolnd @amazonIN #IQOO7series https://t.co/GzQtaeTu9a,"[0, 54]",0,en,0,19-04-21 6:56
naishayy,0,7,27-07-20 11:48,FALSE,,"On one hand govt is encouraging WFH and on the other hand electronics are not considered as an essential!
When my WIFI (or any related electronic) stops working, how should I work from home ??
@CMOMaharashtra @amazonIN @Flipkart @PiyushGoyal 
#rotikapdamakanaurinternet","[0, 269]",0,en,0,19-04-21 6:56
LekhrajRajpoot9,128,540,05-09-18 12:11,FALSE,"सुल्तानपुर, भारत","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,19-04-21 6:56
MujahedMohanmed,179,435,28-03-14 13:37,FALSE,"Nanded-Waghala, India","@AmazonHelp Still waiting to get reply from your team @amazonIN kindly returned my mony pleaSe.
After I am getting my mony I will uninstall @amazonprimenow application.","[12, 168]",0,en,0,19-04-21 6:56
ShieldVoC,17698,98,08-06-19 15:40,FALSE,"Stockholm, Sweden","RT @RahulAhir_: @amazonIN @AmazonHelp 
My order delivered in 9/April
Bat not receive 
Up to 11day not helping customers service and not soc…","[0, 140]",0,en,1,19-04-21 6:56
drthrivenibs,93,164,12-08-14 0:15,FALSE,"Bangalore, India",I received different Pigeon item when ordered on @amazonIN @amazon @AmazonHelp sold by Vaishno Trader fulfilled by Amazon. When the same was written with photo in the review they refuse to publish it. 2nd time they r doing this. #amazonbadservice see the pics https://t.co/xULz12d5qT,"[0, 259]",0,en,0,19-04-21 6:56
